TITLE	USERNAME	ID	-100ID
BILLIONAIRE CLUB 🔒		3254187278	-1003254187278
Fredtrading - VIP - Main channel		1239815745	-1001239815745
BILLIO PREMIUM+ 🔐		2467468850	-1002467468850
Fredtrading - VIP - Crypto community		2208969496	-1002208969496
BILLIO FUNDED VIP 🏦		2997989063	-1002997989063
Fredtrading - VIP CHAT		1622898322	-1001622898322
😈Freak Bets😈	freakbets	1462147774	-1001462147774
The Stats King		1229483730	-1001229483730
Fredo Tips🐸		2087555172	-1002087555172
Tips Bible Free Bets		1745446981	-1001745446981
Tips Bible Premium		1661656619	-1001661656619
Trade Bot Control		5211338635	-1005211338635
StatGod Tips		1348569652	-1001348569652
Telegram		777000	-100777000
Aystar Sports Premium🔥		2893887993	-1002893887993
BILLIONAIRE		2314142708	-1002314142708
GamblingPro’s Telegram⚡️		1488522406	-1001488522406
GamblingKing		1669978628	-1001669978628
😎 GenIPTV Channel 😎 Messages		1071763316305	-1001071763316305
Racing Tips Free Telegram		2133291997	-1002133291997
GamblingPro 25/26 Gold VIP🟡		2813874723	-1002813874723
Scotty Tips 🐎		1300919618	-1001300919618
BILLIONAIRE FUNDED 🏦		2606370239	-1002606370239
Aystar Tips		2039698808	-1002039698808
Fredtrading - Live trading / indices		1979286278	-1001979286278
AI SPORTS TIPS		2035037631	-1002035037631
Pips Room Intro Group 📊		1804436297	-1001804436297
Kieran @ Six Figure Club 💰		1463414528	-1001463414528
Mubeen Trading	mubeentrading	2298510219	-1002298510219
Fredtrading - Affiliate program		2250176709	-1002250176709
Billio Bot Results		2325571710	-1002325571710
The Racing Hub		1770200646	-1001770200646
Piroro		8281369891	-1008281369891
😎 GenIPTV Channel 😎		1763316305	-1001763316305
Schulze Ida	vaniuwqO	7377001804	-1007377001804
Funded Challenge Passing 📈🚀		1966259534	-1001966259534
FreakBets_bot	FreakBet_bot	5719540814	-1005719540814
🤖 StatBot		2359336110	-1002359336110
Mubeen Trading VIP		2808934766	-1002808934766
indicationracingbot	indicationracingbot	5677614982	-1005677614982
Mydee		6675882320	-1006675882320
Mubeen	MUBEENGT	5790771938	-1005790771938
BotFather	BotFather	93372553	-10093372553
Fredtrading - Prop firm service		3219503020	-1003219503020
Kieran James	thehustleline	6200134779	-1006200134779
Funded Passing	getfundedtodayy	6395700867	-1006395700867
Ejike		8477325872	-1008477325872
BILLIO PREMIUM 🔒		2495494511	-1002495494511
Billio Funded	billiopassing	6994261211	-1006994261211
@GamblingkingAdmin	GamblingKingAdmin	6600603857	-1006600603857
Laurent Billionnaire	billio_contact	8164337623	-1008164337623
@GamblingProAdmin	GamblingProAdmin	674986656	-100674986656
Jon	JayPeeTips	5283587388	-1005283587388
Tunde@Usher	M_a_r_u_9	8425124217	-1008425124217
Violet		8130051609	-1008130051609
